Log,Conc,Rep,Compound,Rab10,,,
0,0,1,RN277,1,,,
0,0,2,RN277,1.028133556,,,
0,0,3,RN277,1.018573178,,,
1,10,1,RN277,0.983829171,,,
1,10,2,RN277,0.91903901,,,
1,10,3,RN277,0.895913228,,,
1.5,30,1,RN277,0.895066598,,,]
1.5,30,2,RN277,0.899693147,,,
1.5,30,3,RN277,0.918393475,,,
2,100,1,RN277,0.881689173,,,
2,100,2,RN277,0.94715231,,,
2,100,3,RN277,0.973253887,,,
2.5,300,1,RN277,0.86079689,,,
2.5,300,2,RN277,0.844425192,,,
2.5,300,3,RN277,0.849307392,,,
3,1000,1,RN277,0.450810574,,,
3,1000,2,RN277,0.439096517,,,
3,1000,3,RN277,0.424899037,,,
3.5,3000,1,RN277,0.19234563,,,
3.5,3000,2,RN277,0.184987149,,,
3.5,3000,3,RN277,0.191123241,,,
