Log,Conc,Rep,Compound,Rab10
0,0,1,DDD02966383,0.92654472
1,10,1,DDD02966383,1.05194695
1.477,30,1,DDD02966383,0.8504948
2,100,1,DDD02966383,0.60081473
2.477,300,1,DDD02966383,0.25574009
3,1000,1,DDD02966383,0.14868722
3.477,3000,1,DDD02966383,0.09278107
4,10000,1,DDD02966383,0.08291207
0,0,2,DDD02966383,1.07345528
1,10,2,DDD02966383,1.04682758
1.477,30,2,DDD02966383,0.78861459
2,100,2,DDD02966383,0.54341189
2.477,300,2,DDD02966383,0.24495396
3,1000,2,DDD02966383,0.12692233
3.477,3000,2,DDD02966383,0.10136694
4,10000,2,DDD02966383,0.07649483
